graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT17.entry,entry,Validated CT17 sparse-target entry,,S-Def,StructuralExhaustion.CT17.Nodes.Entry.Contract,StructuralExhaustion/CT17/Nodes/Entry.lean
2,CT17.decide.scope,decision,Bounded-offset arithmetic scope,,A-Scope,StructuralExhaustion.CT17.Nodes.Scope.Contract,StructuralExhaustion/CT17/Nodes/Scope.lean
3,CT17.terminal.scope,terminal,Missing bounded-offset scope terminal,scope,A-Scope,StructuralExhaustion.CT17.RawOutcome,StructuralExhaustion/CT17/Execution.lean
4,CT17.decide.compatibility,decision,Common-branch offset compatibility decision,,S-Dich|S-Rout,StructuralExhaustion.CT17.Nodes.Compatibility.Contract,StructuralExhaustion/CT17/Nodes/Compatibility.lean
5,CT17.decide.separation,decision,Incompatible-completion separation,,S-Rout,StructuralExhaustion.CT17.Nodes.Separation.Contract,StructuralExhaustion/CT17/Nodes/Separation.lean
6,CT17.terminal.ct3,terminal,CT3 completion-type handoff,ct3,S-Rout|S-Trig,StructuralExhaustion.CT17.RawOutcome,StructuralExhaustion/CT17/Execution.lean
7,CT17.terminal.ct10,terminal,CT10 completion-label handoff,ct10,S-Rout|S-Trig,StructuralExhaustion.CT17.RawOutcome,StructuralExhaustion/CT17/Execution.lean
8,CT17.certify.block,certification,Target-thickened block certification,,S-Comp,StructuralExhaustion.CT17.Nodes.Block.Contract,StructuralExhaustion/CT17/Nodes/Block.lean
9,CT17.decide.scale,decision,Finite/repeated scale decision,,S-Dich,StructuralExhaustion.CT17.Nodes.Scale.Contract,StructuralExhaustion/CT17/Nodes/Scale.lean
10,CT17.decide.survivors,decision,Finite-survivor decision,,S-Dich|S-Comp|S-Rout,StructuralExhaustion.CT17.Nodes.Survivors.Contract,StructuralExhaustion/CT17/Nodes/Survivors.lean
11,CT17.terminal.c5,terminal,C5 finite-survivor exhaustion terminal,c5,A-Cert,StructuralExhaustion.CT17.RawOutcome,StructuralExhaustion/CT17/Execution.lean
12,CT17.terminal.ct8,terminal,CT8 finite-survivor handoff,ct8,S-Rout|S-Trig,StructuralExhaustion.CT17.RawOutcome,StructuralExhaustion/CT17/Execution.lean
13,CT17.decide.arithmetic,decision,Large-scale arithmetic decision,,S-Dich|S-Comp|S-Rout,StructuralExhaustion.CT17.Nodes.Arithmetic.Contract,StructuralExhaustion/CT17/Nodes/Arithmetic.lean
14,CT17.terminal.c1,terminal,C1 arithmetic target-hit terminal,c1,A-Cert,StructuralExhaustion.CT17.RawOutcome,StructuralExhaustion/CT17/Execution.lean
15,CT17.terminal.ct14,terminal,CT14 arithmetic-mass handoff,ct14,S-Rout|S-Trig,StructuralExhaustion.CT17.RawOutcome,StructuralExhaustion/CT17/Execution.lean
