graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT4.entry,entry,Validated CT4 ledger entry,,S-Def,StructuralExhaustion.CT4.Nodes.Entry.Contract,StructuralExhaustion/CT4/Nodes/Entry.lean
2,CT4.decide.scope,decision,Demand-family scope,,S-Dich|A-Scope,StructuralExhaustion.CT4.Nodes.Scope.Contract,StructuralExhaustion/CT4/Nodes/Scope.lean
3,CT4.terminal.scope,terminal,Missing-demand scope terminal,scope,A-Scope,StructuralExhaustion.CT4.RawOutcome,StructuralExhaustion/CT4/Execution.lean
4,CT4.certify.assignment,certification,Canonical assignment certification,,S-Det,StructuralExhaustion.CT4.Nodes.Assignment.Contract,StructuralExhaustion/CT4/Nodes/Assignment.lean
5,CT4.decide.availability,decision,Payer availability decision,,S-Dich|S-Det|S-Rout,StructuralExhaustion.CT4.Nodes.Availability.Contract,StructuralExhaustion/CT4/Nodes/Availability.lean
6,CT4.terminal.ct13,terminal,CT13 missing-tier handoff,ct13,S-Rout|S-Trig,StructuralExhaustion.CT4.RawOutcome,StructuralExhaustion/CT4/Execution.lean
7,CT4.decide.fibres,decision,Fibre-capacity decision,,S-Dich|S-Comp|S-Rout,StructuralExhaustion.CT4.Nodes.Fibres.Contract,StructuralExhaustion/CT4/Nodes/Fibres.lean
8,CT4.terminal.ct9,terminal,CT9 overload handoff,ct9,S-Rout|S-Trig,StructuralExhaustion.CT4.RawOutcome,StructuralExhaustion/CT4/Execution.lean
9,CT4.decide.comparison,decision,Capacity comparison,,S-Dich|S-Comp,StructuralExhaustion.CT4.Nodes.Comparison.Contract,StructuralExhaustion/CT4/Nodes/Comparison.lean
10,CT4.terminal.c4,terminal,C4 capacity terminal,c4,S-Comp|A-Cert,StructuralExhaustion.CT4.RawOutcome,StructuralExhaustion/CT4/Execution.lean
11,CT4.terminal.ct14,terminal,CT14 aggregate handoff,ct14,S-Rout|S-Trig,StructuralExhaustion.CT4.RawOutcome,StructuralExhaustion/CT4/Execution.lean
