graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT8.entry,entry,Validated CT8 sequence entry,,S-Def,StructuralExhaustion.CT8.Nodes.Entry.Contract,StructuralExhaustion/CT8/Nodes/Entry.lean
2,CT8.decide.scope,decision,Finite exact-type scope,,S-Dich|A-Scope|S-Rout,StructuralExhaustion.CT8.Nodes.Scope.Contract,StructuralExhaustion/CT8/Nodes/Scope.lean
3,CT8.terminal.scope,terminal,Missing finite-type scope terminal,scope,A-Scope,StructuralExhaustion.CT8.RawOutcome,StructuralExhaustion/CT8/Execution.lean
4,CT8.terminal.ct10,terminal,CT10 coarse-label handoff,ct10,S-Rout|S-Trig,StructuralExhaustion.CT8.RawOutcome,StructuralExhaustion/CT8/Execution.lean
5,CT8.certify.equivalence,certification,Exact-type equivalence certification,,S-Equiv,StructuralExhaustion.CT8.Nodes.Equivalence.Contract,StructuralExhaustion/CT8/Nodes/Equivalence.lean
6,CT8.decide.repetition,decision,Short/repeated-type decision,,S-Dich|S-Comp,StructuralExhaustion.CT8.Nodes.Repetition.Contract,StructuralExhaustion/CT8/Nodes/Repetition.lean
7,CT8.terminal.c5,terminal,C5 finite-enumeration terminal,c5,S-Comp|A-Cert,StructuralExhaustion.CT8.RawOutcome,StructuralExhaustion/CT8/Execution.lean
8,CT8.decide.response,decision,Repeated-type response decision,,S-Dich|S-Equiv|S-Comp,StructuralExhaustion.CT8.Nodes.Response.Contract,StructuralExhaustion/CT8/Nodes/Response.lean
9,CT8.terminal.c2,terminal,C2 repeated-type compression terminal,c2,S-Equiv|S-Comp|A-Cert,StructuralExhaustion.CT8.RawOutcome,StructuralExhaustion/CT8/Execution.lean
10,CT8.decide.routing,decision,Separating-witness routing,,S-Rout,StructuralExhaustion.CT8.Nodes.Routing.Contract,StructuralExhaustion/CT8/Nodes/Routing.lean
11,CT8.terminal.ct3,terminal,CT3 separating-type handoff,ct3,S-Rout|S-Trig,StructuralExhaustion.CT8.RawOutcome,StructuralExhaustion/CT8/Execution.lean
12,CT8.terminal.ct7,terminal,CT7 chain-exchange handoff,ct7,S-Rout|S-Trig,StructuralExhaustion.CT8.RawOutcome,StructuralExhaustion/CT8/Execution.lean
