graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT1.entry,entry,Validated CT1 entry,,S-Def,StructuralExhaustion.CT1.Nodes.Entry.Contract,StructuralExhaustion/CT1/Nodes/Entry.lean
2,CT1.decide.scope,decision,Scope admission,,S-Dich|A-Scope,StructuralExhaustion.CT1.Nodes.Scope.Contract,StructuralExhaustion/CT1/Nodes/Scope.lean
3,CT1.terminal.scope,terminal,scope terminal,scope,A-Scope,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
4,CT1.certify.equivalence,certification,Target-test equivalence certification,,S-Equiv,StructuralExhaustion.CT1.Nodes.Equivalence.Contract,StructuralExhaustion/CT1/Nodes/Equivalence.lean
5,CT1.decide.realization,decision,Realization decision,,S-Dich|S-Equiv|S-Pers,StructuralExhaustion.CT1.Nodes.Realization.Contract,StructuralExhaustion/CT1/Nodes/Realization.lean
6,CT1.terminal.c1,terminal,c1 terminal,c1,S-Equiv|A-Cert,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
7,CT1.decide.payload,decision,Payload classification,,S-Dich|S-Pers|S-Rout,StructuralExhaustion.CT1.Nodes.Payload.Contract,StructuralExhaustion/CT1/Nodes/Payload.lean
8,CT1.terminal.ct2,terminal,ct2 terminal,ct2,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
9,CT1.terminal.ct3,terminal,ct3 terminal,ct3,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
10,CT1.terminal.ct4,terminal,ct4 terminal,ct4,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
11,CT1.terminal.ct5,terminal,ct5 terminal,ct5,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
12,CT1.terminal.ct6,terminal,ct6 terminal,ct6,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
13,CT1.terminal.ct17,terminal,ct17 terminal,ct17,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT1.RawOutcome,StructuralExhaustion/CT1/Execution.lean
