graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT9.entry,entry,Validated CT9 payer-fibre entry,,S-Def,StructuralExhaustion.CT9.Nodes.Entry.Contract,StructuralExhaustion/CT9/Nodes/Entry.lean
2,CT9.decide.scope,decision,Finite fibre-labelling scope,,S-Dich|A-Scope|S-Rout,StructuralExhaustion.CT9.Nodes.Scope.Contract,StructuralExhaustion/CT9/Nodes/Scope.lean
3,CT9.terminal.scope,terminal,Missing finite-labelling scope terminal,scope,A-Scope,StructuralExhaustion.CT9.RawOutcome,StructuralExhaustion/CT9/Execution.lean
4,CT9.terminal.ct10,terminal,CT10 label-refinement handoff,ct10,S-Rout|S-Trig,StructuralExhaustion.CT9.RawOutcome,StructuralExhaustion/CT9/Execution.lean
5,CT9.certify.fibre,certification,Payer-fibre certification,,S-Def,StructuralExhaustion.CT9.Nodes.Fibre.Contract,StructuralExhaustion/CT9/Nodes/Fibre.lean
6,CT9.decide.overload,decision,Bounded/overloaded fibre decision,,S-Dich|S-Comp|S-Rout,StructuralExhaustion.CT9.Nodes.Overload.Contract,StructuralExhaustion/CT9/Nodes/Overload.lean
7,CT9.terminal.ct4,terminal,CT4 bounded-multiplicity handoff,ct4,S-Rout|S-Trig,StructuralExhaustion.CT9.RawOutcome,StructuralExhaustion/CT9/Execution.lean
8,CT9.certify.extraction,certification,Homogeneous extraction certification,,S-Comp,StructuralExhaustion.CT9.Nodes.Extraction.Contract,StructuralExhaustion/CT9/Nodes/Extraction.lean
9,CT9.decide.routing,decision,Extracted-object routing,,S-Dich|S-Rout,StructuralExhaustion.CT9.Nodes.Routing.Contract,StructuralExhaustion/CT9/Nodes/Routing.lean
10,CT9.terminal.c1,terminal,C1 overload target terminal,c1,A-Cert,StructuralExhaustion.CT9.RawOutcome,StructuralExhaustion/CT9/Execution.lean
11,CT9.terminal.ct7,terminal,CT7 homogeneous-exchange handoff,ct7,S-Rout|S-Trig,StructuralExhaustion.CT9.RawOutcome,StructuralExhaustion/CT9/Execution.lean
12,CT9.terminal.ct8,terminal,CT8 long-chain handoff,ct8,S-Rout|S-Trig,StructuralExhaustion.CT9.RawOutcome,StructuralExhaustion/CT9/Execution.lean
