graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT12.entry,entry,Validated CT12 routed-load entry,,S-Def,StructuralExhaustion.CT12.Nodes.Entry.Contract,StructuralExhaustion/CT12/Nodes/Entry.lean
2,CT12.decide.scope,decision,Recorded natural-valued load scope,,S-Meas|A-Scope,StructuralExhaustion.CT12.Nodes.Scope.Contract,StructuralExhaustion/CT12/Nodes/Scope.lean
3,CT12.terminal.scope,terminal,Unmeasurable-load scope terminal,scope,A-Scope,StructuralExhaustion.CT12.RawOutcome,StructuralExhaustion/CT12/Execution.lean
4,CT12.certify.measure,certification,Initial loop-measure certification,,S-Meas,StructuralExhaustion.CT12.Nodes.Measure.Contract,StructuralExhaustion/CT12/Nodes/Measure.lean
5,CT12.decide.saturation,decision,Unsaturated/peelable decision,,S-Dich,StructuralExhaustion.CT12.Nodes.Saturation.Contract,StructuralExhaustion/CT12/Nodes/Saturation.lean
6,CT12.terminal.c4,terminal,C4 unsaturated discharge terminal,c4,S-Comp|A-Cert,StructuralExhaustion.CT12.RawOutcome,StructuralExhaustion/CT12/Execution.lean
7,CT12.certify.peel,certification,Canonical single-unit peel certification,,S-Det,StructuralExhaustion.CT12.Nodes.Peel.Contract,StructuralExhaustion/CT12/Nodes/Peel.lean
8,CT12.decide.restoration,decision,Invariant-restoration decision,,S-Rest|S-Rout,StructuralExhaustion.CT12.Nodes.Restoration.Contract,StructuralExhaustion/CT12/Nodes/Restoration.lean
9,CT12.terminal.ct4,terminal,CT4 ordinary-demand handoff,ct4,S-Rout|S-Trig,StructuralExhaustion.CT12.RawOutcome,StructuralExhaustion/CT12/Execution.lean
10,CT12.terminal.ct13,terminal,CT13 tier-interaction handoff,ct13,S-Rout|S-Trig,StructuralExhaustion.CT12.RawOutcome,StructuralExhaustion/CT12/Execution.lean
11,CT12.certify.decrease,certification,Strict loop-measure decrease certification,,S-Meas,StructuralExhaustion.CT12.Nodes.Decrease.Contract,StructuralExhaustion/CT12/Nodes/Decrease.lean
