graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT7.entry,entry,Validated CT7 exchange entry,,S-Def,StructuralExhaustion.CT7.Nodes.Entry.Contract,StructuralExhaustion/CT7/Nodes/Entry.lean
2,CT7.decide.scope,decision,Finite context-generator scope,,S-Dich|A-Scope,StructuralExhaustion.CT7.Nodes.Scope.Contract,StructuralExhaustion/CT7/Nodes/Scope.lean
3,CT7.terminal.scope,terminal,Missing context-generator scope terminal,scope,A-Scope,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
4,CT7.certify.context,certification,Context completeness certification,,S-Equiv,StructuralExhaustion.CT7.Nodes.Context.Contract,StructuralExhaustion/CT7/Nodes/Context.lean
5,CT7.decide.realization,decision,Target realization decision,,S-Dich,StructuralExhaustion.CT7.Nodes.Realization.Contract,StructuralExhaustion/CT7/Nodes/Realization.lean
6,CT7.terminal.c1,terminal,C1 target realization terminal,c1,A-Cert,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
7,CT7.decide.distinction,decision,Distinguishing/neutral decision,,S-Dich|S-Equiv,StructuralExhaustion.CT7.Nodes.Distinction.Contract,StructuralExhaustion/CT7/Nodes/Distinction.lean
8,CT7.decide.defect,decision,Distinguishing defect routing,,S-Rout,StructuralExhaustion.CT7.Nodes.Defect.Contract,StructuralExhaustion/CT7/Nodes/Defect.lean
9,CT7.terminal.c3,terminal,C3 routed-defect terminal,c3,S-Rout|A-Cert,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
10,CT7.terminal.ct3,terminal,CT3 external-type handoff,ct3,S-Rout|S-Trig,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
11,CT7.terminal.ct12,terminal,CT12 peeling handoff,ct12,S-Rout|S-Trig,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
12,CT7.decide.neutral,decision,Neutral compression routing,,S-Comp|S-Rout,StructuralExhaustion.CT7.Nodes.Neutral.Contract,StructuralExhaustion/CT7/Nodes/Neutral.lean
13,CT7.terminal.c2,terminal,C2 neutral-compression terminal,c2,S-Comp|A-Cert,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
14,CT7.terminal.ct10,terminal,CT10 neutral-label handoff,ct10,S-Rout|S-Trig,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
15,CT7.terminal.ct16,terminal,CT16 whole-object handoff,ct16,S-Rout|S-Trig,StructuralExhaustion.CT7.RawOutcome,StructuralExhaustion/CT7/Execution.lean
