graph_order,node_id,node_kind,title,terminal_case,contracts,lean_contract,source_file
1,CT3.entry,entry,Validated CT3 entry,,S-Def,StructuralExhaustion.CT3.Nodes.Entry.Contract,StructuralExhaustion/CT3/Nodes/Entry.lean
2,CT3.decide.scope,decision,Finite external-type scope,,S-Dich|A-Scope,StructuralExhaustion.CT3.Nodes.Scope.Contract,StructuralExhaustion/CT3/Nodes/Scope.lean
3,CT3.terminal.scope,terminal,Infinite-index scope terminal,scope,A-Scope,StructuralExhaustion.CT3.RawOutcome,StructuralExhaustion/CT3/Execution.lean
4,CT3.certify.equivalence,certification,External-type equivalence certification,,S-Equiv,StructuralExhaustion.CT3.Nodes.Equivalence.Contract,StructuralExhaustion/CT3/Nodes/Equivalence.lean
5,CT3.decide.compression,decision,Replacement compression decision,,S-Dich|S-Equiv|S-Comp,StructuralExhaustion.CT3.Nodes.Compression.Contract,StructuralExhaustion/CT3/Nodes/Compression.lean
6,CT3.terminal.c2,terminal,C2 replacement terminal,c2,S-Comp|A-Cert,StructuralExhaustion.CT3.RawOutcome,StructuralExhaustion/CT3/Execution.lean
7,CT3.decide.defect,decision,External-type defect classification,,S-Dich|S-Pers|S-Rout,StructuralExhaustion.CT3.Nodes.Defect.Contract,StructuralExhaustion/CT3/Nodes/Defect.lean
8,CT3.terminal.c3,terminal,C3 routed-account terminal,c3,S-Rout|A-Cert,StructuralExhaustion.CT3.RawOutcome,StructuralExhaustion/CT3/Execution.lean
9,CT3.terminal.ct7,terminal,CT7 exchange handoff,ct7,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT3.RawOutcome,StructuralExhaustion/CT3/Execution.lean
10,CT3.terminal.ct12,terminal,CT12 peeling handoff,ct12,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT3.RawOutcome,StructuralExhaustion/CT3/Execution.lean
11,CT3.decide.table,decision,Finite-table classification,,S-Dich|S-Pers|S-Comp,StructuralExhaustion.CT3.Nodes.Table.Contract,StructuralExhaustion/CT3/Nodes/Table.lean
12,CT3.terminal.c5,terminal,C5 finite-table terminal,c5,S-Comp|A-Cert,StructuralExhaustion.CT3.RawOutcome,StructuralExhaustion/CT3/Execution.lean
13,CT3.terminal.ct8,terminal,CT8 repeated-type handoff,ct8,S-Pers|S-Rout|S-Trig,StructuralExhaustion.CT3.RawOutcome,StructuralExhaustion/CT3/Execution.lean
